[INFO    :   django.utils.autoreload] - 2024-02-03 15:38:24,527 : run_with_reloader @ 0668: Watching for file changes with StatReloader
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,313 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\core\validators.py first seen with mtime 1706875376.1701317
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,314 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\friendlydogs\base\__init__.py first seen with mtime 1706875999.863474
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,315 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1706875349.932261
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,316 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1706875376.8257437
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,317 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1701976816.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,318 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1706875344.4309077
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,319 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1706875377.6087544
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,320 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,320 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1706875377.7951677
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,321 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1706875376.6611671
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,322 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\importlib\_abc.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,323 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1706875377.3438
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,324 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1706875376.7785838
